#SampleID	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHXM	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174LBQA	180VHMQ	189VXZJ	195VXXY	199VOZQ	206ZFDA	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287DJQA	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388DHLA	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHY	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	LR200116-0001	LR200116-0002_L4_1000002	LR200116-0003_L1_1000787	LR200116-0004_L1_1000734	LR200116-0005_L1_1000735	LR200116-0006_L1_1000736	LR200116-0008_L1_1000738	LR200116-0009_L1_1000739	LR200116-0010	LR200116-0011	LR200116-0012_L4_1000742	LR200116-0013_L1_1000743	LR200116-0014_L4_1000788	LR200116-0015_L4_1000789	LR200116-0016_L4_1000953	LR200116-0017_L4_1000954	LR200116-0018_L1_1000955	LR200116-0019_L1_1000956	LR200116-0020_L1_1000916	LR200116-0021_L1_1000957	LR200116-0023_L1_1001357	LR200116-0024_L1_1001404	LR200212-0001	LR200212-0002
M00001	663.4749741	876.47984488	28.739636	703.2202842	221.1905859	745.94143605	28.192335	795.4652328	15.0692738	659.87012547	734.34778376	746.79078758	266.87404968	26.059917	1032.58218541	329.6708198	21.2515029	721.34045211	400.87637987	657.4860029	610.25842199	108.34884261	129.9903489	780.98153718	666.16632923	87.12707183	301.3847955	687.8247488	610.6395929	37.58655516	65.8864488	881.4841244	444.305420856	444.016014	61.9557173	96.5850956	414.56626966	301.58082633	133.0407148	851.62451434	602.84001827	1001.1704037	254.8457868	563.4988308	576.0691599	798.4357135	222.1217602	42.3645341	981.1300375	712.6743214	57.0668598	523.5296275	57.9482279	1147.49004706	449.52456839	865.07549496	228.5831706	990.138669	556.47193059	579.647073	342.0219538	1087.3908287	350.9663552	749.1502418	706.4593039	1070.6957952	555.944267	221.8519618	778.5868333	206.8077171	88.8341411	99.492877	408.882162	157.69425172	278.7267526	745.2547869	528.586532	795.8772857	772.5733998	581.04347682	615.370410407	702.2356155	1045.1199334	987.2693636	710.63781328	690.1124483	856.4857781	565.7098447	905.24464378	565.8591467	725.471414	991.2726687	797.75419731	995.6431474	389.4254677	581.4300481	659.3514125	708.56006392	289.85040061	741.6528393	121.78663584	372.4637457	645.6651853	319.70990946	213.0274545	902.03503221	294.8940115	803.41360459	823.522421667	523.3703522	414.0830782	889.52718041	287.7517168	639.8819233	383.1115995	551.81468076	515.0974772	415.13914692
M00002	437.4680787	615.5107964	17.639919	440.0597555	151.7876795	480.5039202	12.935167	561.9968809	9.3405538	450.07110487	539.494617	546.14589662	184.1606226	16.4166986	671.25948341	239.2620178	7.7564467	456.47413011	244.392219	427.0571122	395.843309	69.9121427	80.5283589	537.5475826	492.74187863	49.3454851	216.8569848	465.6123811	451.9408525	27.06219386	50.8950758	599.639537	312.565780256	266.3636177	40.0535383	61.6386346	270.28536366	169.3020367	52.5531957	602.33411224	387.7993044	686.7491909	179.2552002	376.2980888	371.9050906	560.8682468	131.7821982	11.8320281	615.1067878	447.7376803	25.5846288	407.9411784	21.3970428	713.20438846	280.38641339	581.30179136	129.5982752	478.988682	291.66937899	336.9781419	244.7821817	578.9845865	179.2784004	544.5320151	506.315046	722.4771829	386.977899	159.8351959	505.160986	133.3281081	58.7261164	49.382627	248.0633118	114.57857052	156.2395187	514.5130121	269.9830237	553.7279236	511.9437794	391.44317502	394.311764907	484.1702335	835.7057355	653.0146121	480.25423609	459.5798638	606.4316926	321.2303479	597.3751428	321.5463189	540.9869309	694.959562	555.21524641	716.5721898	242.9745901	368.0139332	392.8128728	378.54235552	135.4905647	315.216619	46.65733194	241.3373434	350.41328	126.9384791	119.8386245	515.7428074	153.901997	470.30525105	551.759229967	198.6876501	242.5126499	577.95110181	130.9500128	448.4242555	222.4053474	297.9678148	350.2663689	263.97411852
M00003	771.7503329	889.49766128	27.1772507	993.2691106	235.838577	1331.46824483	20.0747414	906.1752167	17.3922636	812.06112997	941.9945773	644.54540052	257.2304973	29.2169696	1041.17817974	372.7781327	17.8984826	785.68065831	462.6363686	744.2012377	892.59707169	113.11	151.5550221	893.18665575	735.72088643	112.8352671	499.3423355	793.6226626	548.2004258	43.64530671	63.0407644	1239.4021649	531.863453856	375.1735	59.3494196	93.73727	440.4565113	405.47538653	87.0924877	1022.80288999	902.354126	1384.5531226	258.687989	698.8314896	740.6101283	1143.4505216	286.61177199	23.0609446	1302.24845422	1155.058192	45.6861915	539.7765715	35.4318891	1063.76493006	496.24141959	1455.5768342	347.43870899	1011.8340595	640.05002339	538.3120963	614.8982838	1414.8674244	437.1422198	793.3304536	685.7381332	1192.5863831	969.1885968	220.7106301	832.4697206	297.726109	87.6970196	112.114509	538.0097684	188.9055225	687.9938915	763.5736895	755.26213192	825.7549433	765.54955857	859.74758219	1095.501588307	973.6911203	1287.8124709	1123.9608646	749.92532249	1024.4544562	934.49343728	669.9435528	1003.924909	790.2295047	946.871545	1103.672735	907.29125005	1386.40182028	500.7804108	747.4949489	886.1093002	1002.67298302	490.1308318	856.4494258	120.09473217	609.18738822	825.9578172	458.2080488	343.6978855	1032.3563078	421.3193146	1032.86236086	952.700582127	657.0284764	546.4359239	1115.45216791	356.09580311	1452.3168125	531.7544403	990.9067336	620.83164	484.8568358
M00004	87.7130552	294.4960002	16.28177	187.0052708	76.5325155	114.5657538	22.949112	166.7005157	7.5710024	161.4748049	123.82453136	214.96478986	67.65650826	8.6883926	200.3355647	64.760053	14.1460552	164.7029258	109.6846813	93.4306769	147.0720963	37.14838781	51.8273212	190.3808539	114.0667645	28.8010588	81.3842407	137.317281	153.8589806	16.365957	18.7120496	344.793553	109.3871601	259.0439839	18.312863	16.8743738	114.2845333	63.5092711	96.5753615	272.3787388	111.51175447	294.4172609	66.2120336	96.4899559	106.2523652	104.9738289	88.3992752	36.8284922	343.44842286	159.8505492	22.759489	145.9833851	46.3613729	314.3006828	164.2001151	165.6497004	124.6259193	182.748157	85.9423241	153.2700863	109.4229444	181.6111942	107.5646737	159.0222049	231.3360738	218.56066564	94.03181071	49.5634042	217.52599126	63.83429926	29.5600277	24.077766	116.4273261	62.3212133	100.3845733	199.3727719	154.8917343	173.3143611	240.0158706	145.6143022	146.7594287	133.5802456	297.5600798	144.98492433	171.21353349	157.2268939	171.541274	149.1012372	166.79812998	144.62286625	123.6941909	116.1621608	120.5809971	151.9147225	147.5456116	306.0359256	211.0950806	97.8638467	128.1862523	151.6151115	112.7918271	137.92023615	151.8138321	92.2604294	145.420576	193.1307361	126.6038668	141.4972056	221.8419375	138.0889409	99.7774224	151.2159512	163.3031152	125.0448722	212.4523173	117.87890186	240.5555605	131.3981755
M00005	52.30555188	70.1308646	2.253337	40.734908	21.4688352	51.0933471	10.363345	30.6258715	2.509587	45.8265349	36.75820552	33.0586882	18.687478	0.760456	36.111511	50.340273	2.28721	55.6047751	58.75386527	42.757482	10.879182	7.29414	35.954533	26.1652731	54.689637	21.940048	26.893606	49.8908872	47.46779173	1.6306898	4.702716	84.973064	48.0620611	78.789084	6.387661	13.131819	52.7248912	76.3741438	16.356018	38.3904749	32.29427	91.399398	14.9627225	38.5365738	74.0413272	75.6750414	20.0862785	7.9655719	97.8647822	66.293511	11.706	22.8536196	9.2816185	45.9326417	30.062802	65.7649078	38.375092	51.827063	30.4994035	51.6087331	26.0614615	48.853062	77.3261964	44.822434	46.4096493	66.3936592	55.928509	11.7227794	47.1752504	63.46762469	21.3942467	14.2263425	45.462387	9.660396	5.051688	44.6462439	37.9280436	92.0321986	87.4246418	47.028392	45.0977951	50.9919101	83.9964952	47.2336792	59.7046758	44.18067503	54.795863	76.340322	63.3584942	58.3339844	55.5515955	47.757409	28.1257507	44.29342414	78.871588	30.19359	65.769343	71.3584277	65.25243	54.1683263	11.7372438	56.438965	42.199089	24.991341	29.146667	81.6593792	107.4399692	81.037989	37.3631701	45.8739467	35.3124685	82.8631966	103.785905	43.6972539	112.372051	71.784422	69.061385	42.4801136
M00006	4.5239467	134.376731	5.20634	42.7921382	17.281601	4.4374814	5.733329	22.9951383	1.396715	23.246551	22.4145642	58.4708318	13.863149	3.073196	14.6327938	7.229422	1.662394	17.9363428	21.4664916	15.5336781	56.57679	11.0082606	15.785012	38.4965632	9.041926	3.785909	14.060175	23.7881767	19.9807177	1.765492	6.780535	107.377312	27.879139	164.4509798	4.877998	2.066666	25.1022978	7.027637	15.897873	91.3394595	9.1466683	111.464666	9.204871	7.0285374	17.0581005	8.7010543	9.2758269	4.526516	133.175962	6.020737	5.78472	22.240558	9.0887606	40.9694202	32.117003	22.5459715	9.1944778	9.6503623	14.8324841	37.4005011	15.5964201	15.8501537	14.8176738	26.5318436	99.713854	14.5787779	7.9016422	11.382624	40.916943	5.199807	7.018217	10.95761	28.775791	14.43235	35.979259	33.149588	2.271487	47.0512143	46.2627026	9.7573491	4.5505196	28.851289	67.630254	24.9771718	33.4460501	47.0301865	40.7343693	15.0735478	20.4986469	25.5760264	10.3402391	17.591114	6.5618981	18.4671912	42.49547	101.9779	70.23987	9.9052117	17.4768093	12.971085	17.7434083	21.2373181	41.610018	13.535	40.911267	16.0145695	16.1011608	31.2525333	28.5617624	7.4861127	11.4745367	18.7166099	13.7009951	6.5231332	47.674686	3.7158579	86.405096	27.874924
M00007	61.3645227	111.2039304	11.07543	112.4363272	40.2566628	68.4750314	15.305319	95.1203407	5.3910424	107.4996095	74.60246156	91.1183621	35.24301268	2.7877592	124.715878	48.8694377	11.6288762	87.2788028	62.8133479	51.0670619	67.6084551	22.0686693	25.2070932	110.2057833	71.567836	18.1271794	44.5537527	82.1178044	89.4419455	12.2169867	11.1982676	184.2822958	54.4252542	90.8198688	10.409857	8.0836268	68.1036817	38.1427801	66.3038684	117.3258182	65.8127422	133.1586667	38.920954	55.4885745	65.2325845	53.7835352	56.8368293	26.9517942	151.65121566	65.6253665	11.116709	92.4837141	26.519427	185.6208009	93.3766235	79.8361784	83.428272	117.4070707	49.614669	57.3408507	73.8343213	107.9913196	74.8405241	91.527604	103.3701184	145.76465404	59.12408741	26.5034678	88.182924	47.96849306	22.528288	11.337976	65.9675855	44.8906713	45.0048173	117.502625	85.0834018	87.6543609	121.6757394	89.4509549	92.8212537	79.1362245	183.5547858	64.37229123	96.7877574	72.9852385	103.1484558	75.8847519	75.9956261	66.60748395	81.3545474	62.2686339	76.3896787	66.9369186	82.4052751	171.4923236	88.1969696	64.5110486	75.364758	90.9295216	77.5163399	93.93762085	89.4181984	61.3077651	93.271114	124.0949588	90.593009	80.2210631	150.5933065	92.1152164	72.078735	96.7702768	119.2172541	89.8459314	135.7349442	70.799566	111.2870187	78.6948671
M00008	4.067105	133.377296	3.12519	40.7076384	10.384839	5.07052	4.040559	23.2952173	1.162176	22.293138	16.7191062	47.4719608	11.816727	2.312134	11.9471718	7.901026	1.662394	15.0233258	20.3417046	16.3733581	26.458144	12.3889556	15.170056	37.2917985	9.659472	3.015026	14.060175	20.1474147	20.7175307	1.765492	5.665181	107.377312	25.869885	35.1549798	4.091204	1.407745	24.179263	6.003125	13.757063	50.8063685	6.7225263	111.352235	7.502405	12.9560924	15.835786	11.353348	9.0451359	4.526516	133.4574246	5.319254	4.314549	20.7211995	8.0887606	39.9563602	22.362663	21.1454979	10.8185878	7.3557959	17.2258871	34.3413881	13.3473996	12.7231356	14.4930918	22.5371016	71.684189	15.2311249	6.7188562	10.148786	35.118314	5.199807	5.510657	9.43812	23.677141	13.00093	27.939482	24.041163	1.225259	35.0537223	37.5702316	9.7573491	3.3762956	28.441154	46.575045	20.4425276	28.2873862	45.3277485	33.4424013	11.3003174	16.8206399	14.7023934	10.6838081	12.87411	5.048108	15.7311035	42.268155	37.3319	69.88267	9.6148548	16.6752223	12.971085	17.807158	18.7594871	22.018879	13.251072	39.221476	14.5208241	14.7309998	29.3152713	17.8113074	6.0507427	10.3985746	14.1127989	13.7009951	7.31796	47.555354	3.7158579	83.9392526	27.874924
M00009	592.18333222	300.9749282	46.9100782	833.92984684	175.4470577	597.62115602	72.879263	698.9542288	30.9228658	523.56038273	384.85836102	545.556205	262.2569707	22.7710052	1002.6207124	424.5726425	34.8621347	756.72827979	1286.3577093	588.70959962	654.7861199	83.9883092	307.5967058	876.0688038	613.4402331	206.7611718	827.2641805	592.30660038	487.001501	44.6059347	72.9226282	416.27661242	465.8756689	297.7657633	87.3464791	92.9034031	720.4619011	563.37656824	158.2945185	731.30571303	690.69874561	319.6833811	317.2689014	928.15236323	667.9320195	664.09368995	280.17720492	62.0369181	506.310040991	765.32598182	112.6196276	542.5277282	77.90759259	539.89701367	740.37752269	611.31124077	385.04848042	599.80866825	945.0427448	754.0873218	761.2905872	648.49247566	1159.891371	877.7475713	598.8442605	898.4196251	425.58316483	207.2621927	956.08517824	1109.011378454	210.54752727	242.5838428	422.7538409	207.0561479	619.62923331	1048.8365858	804.166037	719.47615274	615.61185634	778.745764	843.4163709	991.7160137	586.6954223	607.2534422	452.53347866	718.66590361	882.356643604	636.1857163	605.07062353	692.83106359	474.86457562	567.2349372	418.1503249	364.80790118	1321.5930049	491.2979222	1187.50624943	887.43691446	924.08993217	514.8458953	235.0609181	630.0263319	663.8132741	657.10681261	619.8673574	1169.32957858	904.35779978	685.58575606	1260.8859395	650.3293926	691.47884472	817.144445254	1490.8599042	827.0324347	1108.2609834	798.42553542	202.1948886	1218.52310789
M00010	52.3277312	6.8722768	15.590146	68.4676576	30.4786707	25.5304672	28.517313	43.5448373	14.2707076	17.7694861	14.2641142	26.9385692	62.9829528	2.9120409	109.6475652	72.3866987	12.5677126	13.5683112	423.4529547	13.6829187	34.3691825	19.088189	89.0603365	32.7845581	73.9174051	61.3614889	2.781364	31.1605273	45.5334971	4.2515211	13.307078	39.5427759	53.9508797	113.0988709	15.82432	22.9962274	241.6764207	153.227661	66.8808204	107.01341993	29.0194802	10.4566965	94.4937127	170.7593914	64.8354038	138.6603492	51.51751822	32.0364125	29.9485457	32.6256402	35.97259	78.8943267	37.3336906	11.0476713	32.4810668	13.9166482	4.2008919	42.1342025	351.5637582	96.8255406	35.5166727	59.2830689	370.4054681	112.486112	33.7358032	44.7196188	43.83827792	17.4373421	31.23479874	256.014544234	80.624769	88.695358	86.1557646	59.576869	15.0579336	40.0530343	10.8789148	23.7085567	32.08969	25.4413789	9.0097274	22.4871749	7.4273501	11.5083627	22.8019141	20.1381559	36.652004034	20.5779293	12.9737173	10.2842954	14.83390912	61.5442028	25.5793047	13.8914076	326.5573331	104.3578528	350.4869446	141.4654558	247.2051059	111.5728389	85.8174115	101.641797	51.1716705	178.8059331	229.9627242	132.1920145	328.4397743	87.0577131	162.1442113	46.6781091	106.9584456	59.1489774	446.2410557	53.0507372	431.7213372	78.2365831	10.3530945	278.124444
