#NAME	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHMX	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174ALBQ	180VHMQ	189VXZJ	195VXXY	199VOZQ	206AZFD	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287ADJQ	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388ADHL	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHR	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	319VLY	178VYDM	188VZJH	190VFYK	206VZFD	254VLXR	214VGWJ	021VLSF	287VDJQ	136VZXQ	250VSJJ	317VYL	338VHJY	139VLTW	038VLWS	063VWZB	211VLT	316VYJH	349VZNL	193VZXL	174VLBQ	314VLLY	253VXXJ	275VLSX
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidisarcina;s__Acidisarcina_polymorpha	0	0	0	0	0	2.54648E-06	0	0	0	0	0	4.25092E-05	0	0	0	0	0	3.60335E-06	1.42226E-06	3.0266E-06	0	0	0	1.26791E-05	0	0	0	4.39038E-06	0	0	0	0	0	0	0	0	0	0	0	0	2.63514E-06	0	0	0	5.28923E-06	1.82879E-06	0	0	0	0	0	0	0	1.5066E-06	0	1.11733E-06	6.69488E-07	1.06128E-06	0	1.34979E-05	2.72403E-05	0	0	2.04136E-05	5.00273E-05	1.06985E-05	2.98293E-06	0	0	0	0	0	1.42163E-05	0	0	2.54989E-05	2.81052E-05	8.04434E-06	1.99008E-06	4.36942E-06	1.43402E-06	2.90271E-05	0	3.77631E-06	3.8496E-06	9.61243E-06	5.13208E-06	8.43225E-06	3.65102E-06	2.05705E-06	1.67098E-06	1.87603E-06	8.35442E-06	2.54057E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34384E-06	1.11944E-05	0	0	0	1.96135E-06	0	2.16837E-07	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium_capsulatum	0	0	0	0	0	2.12207E-06	0	0	0	0	3.28757E-06	0	0	0	0	0	0	3.16468E-06	3.36169E-06	1.59896E-06	0	0	0	0	0	0	0	3.5123E-06	0	0	0	0	0	0	0	0	0	0	0	0	2.57525E-06	0	0	0	0	0	0	0	0	2.64348E-06	0	0	0	0	0	5.3073E-06	0	1.13709E-06	0	0	2.49055E-06	0	0	0	3.48291E-06	0	1.14728E-06	0	0	0	0	0	0	0	0	2.86505E-06	1.76716E-06	8.46772E-07	1.23195E-06	2.02334E-06	5.28796E-06	2.86207E-06	0	1.82072E-06	2.42152E-06	0	2.52615E-06	9.8134E-07	1.64781E-06	3.10575E-06	2.33307E-06	3.10515E-06	1.58628E-06	2.63466E-06	0	0	0	0	0	0	0	0	0	0	0	1.0634E-06	1.00137E-05	8.7698E-06	5.13363E-06	0	0	1.78009E-05	0	1.64754E-06	0	1.77806E-06	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Candidatus_Koribacter;s__Candidatus_Koribacter_versatilis	1.09151E-05	0	0	4.79267E-05	0	3.81972E-06	0	0	0	1.49741E-05	0	7.08486E-05	0	0	0	1.65399E-05	0	3.26495E-05	1.24124E-05	8.24607E-05	0	0	0	4.67543E-05	1.13059E-06	0	0	1.99931E-05	2.77449E-05	0	0	1.08877E-06	0	1.9118E-06	0	0	3.03619E-06	0	0	0	2.6052E-05	0	0	7.4591E-06	1.43565E-05	8.20183E-06	0	0	2.8115E-06	1.66957E-06	0	0	0	9.74856E-07	1.00348E-05	2.14154E-06	5.26026E-07	1.8345E-05	0	3.64442E-05	7.47164E-06	0	0	3.33422E-05	0.00064988	3.24011E-05	4.58912E-06	2.12083E-05	1.79002E-05	0	0	0	0	0	0	0.000266736	3.36487E-06	3.68346E-05	5.16473E-06	1.30586E-05	7.74628E-06	0.000135499	0	4.78782E-06	5.0914E-06	2.48063E-05	7.57314E-05	3.7618E-06	1.68335E-05	6.69551E-06	1.54803E-05	1.986E-05	3.91283E-06	1.49611E-05	0	0	0	0	0	0	0	0	1.58098E-05	0	0	2.73445E-06	1.27447E-05	1.31547E-05	9.08258E-06	7.46292E-06	0	6.31644E-06	0	1.4514E-06	0	2.36352E-06	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__Granulicella_mallensis	3.89826E-06	0	0	0	0	0	0	0	0	8.6389E-06	2.73964E-06	1.7476E-05	0	0	0	1.39953E-05	0	4.95069E-06	4.39606E-06	1.14211E-05	8.31675E-07	0	0	7.92446E-06	0	0	0	2.22896E-05	9.07044E-06	0	0	0	0	0	0	0	0	0	0	0	3.59338E-06	7.99714E-07	0	0	9.06724E-06	1.21919E-06	0	0	0	0	0	0	0	6.64675E-07	4.56128E-06	2.42087E-06	1.33898E-06	2.12256E-06	0	2.15966E-05	0	0	0	9.52634E-06	1.99476E-05	1.58949E-05	1.95038E-06	0	0	0	0	0	0	1.91853E-05	0	2.80297E-05	1.69454E-06	1.01613E-05	2.60606E-06	4.31977E-06	2.90646E-06	1.13467E-05	0	4.38322E-06	1.9248E-06	3.72094E-06	1.56356E-05	1.30845E-06	3.45716E-06	1.25037E-06	4.05135E-06	3.23453E-06	2.27367E-06	2.68171E-06	0	0	0	0	0	0	0	0	1.71273E-05	0	0	0	1.09241E-05	7.51697E-06	0	0	0	0	0	0	0	1.01913E-06	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__Granulicella_tundricola	0	0	0	0	0	0	0	0	0	1.84297E-05	0	0	0	0	0	0	0	6.89337E-07	1.68085E-06	1.25633E-06	0	0	0	0	0	0	0	1.72913E-05	1.97415E-05	0	0	0	0	0	0	0	0	0	0	0	8.38454E-07	0	0	0	0	7.20431E-07	0	0	5.16707E-06	0	0	0	0	0	0	1.21044E-06	2.58231E-06	0	0	1.75472E-05	0	0	0	0	3.00797E-06	0	0	0	0	0	0	0	0	0	2.48197E-06	1.40387E-05	9.92516E-07	9.6774E-07	6.44406E-06	1.19166E-06	2.85524E-06	1.99837E-06	0	5.3273E-06	1.80062E-06	3.72094E-06	4.83958E-06	1.01769E-06	2.10015E-06	1.2907E-06	9.61605E-07	1.42319E-06	3.7542E-06	2.11714E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8815E-05	5.52853E-06	0	0	0	0	8.23769E-07	0	1.82143E-06	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus_albidus	0	0	6.97783E-05	0	0	3.60751E-06	0	0	0	0	0	9.44648E-06	0	0	0	0	0	1.73588E-05	8.27494E-06	2.11291E-05	0	0	0	2.13961E-05	0	0	0	1.55352E-05	1.65402E-05	0	0	0	0	1.0428E-06	0	0	0	0	0	0	9.28289E-06	0	0	0	6.42263E-06	1.93962E-06	0	0	1.59571E-06	0	0	0	0	5.76051E-07	0	4.00375E-06	0	3.71448E-06	0	0	1.07405E-05	0	0	1.22481E-05	2.62802E-05	7.64178E-06	2.75347E-06	3.18125E-05	8.64148E-06	0	0	0	0	0	0	2.32546E-05	4.27266E-06	9.43546E-06	2.32176E-06	5.46177E-06	3.86674E-06	8.41685E-06	0	4.38322E-06	4.90513E-06	4.65118E-06	2.18845E-05	6.43323E-06	6.68816E-06	1.4117E-06	5.45435E-06	4.65772E-06	5.02323E-06	4.70475E-06	0	1.8976E-05	0	0	0	0	0	0	1.31748E-05	0	0	1.13935E-06	1.00137E-05	6.26414E-06	7.503E-06	1.34333E-05	0	1.09102E-05	0	2.7459E-06	0	1.10587E-06	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus_roseus	3.82029E-05	0	8.3734E-05	7.96781E-05	0	1.31568E-05	0	6.05125E-05	0	0.000128432	7.12307E-06	0.000303232	0	0	0	6.23426E-05	0	0.000120979	2.09459E-05	0.000149103	1.81456E-06	0	0	0.00025279	2.5937E-06	2.04154E-05	0	0.000114285	0.000107778	0	0	4.26433E-06	4.04087E-05	1.8249E-06	0	0	3.26974E-06	3.2865E-05	0	1.92642E-05	8.36059E-05	0	0	2.40986E-05	6.27151E-05	1.23028E-05	2.2448E-05	0	8.20653E-06	1.39131E-05	0	2.81142E-05	0	2.88026E-06	5.47353E-06	1.02422E-05	1.00423E-06	4.39673E-05	1.60091E-05	0.000176822	2.45941E-05	2.10192E-05	0	0.000104109	0.000555841	8.37539E-05	1.50294E-05	0.000176029	4.93799E-05	5.27704E-06	0	0	0	0	1.29062E-05	0.000294288	3.72194E-05	0.000121693	2.13697E-05	4.47493E-05	1.50956E-05	0.000308358	0	4.69341E-05	4.40841E-05	0.000102326	0.000211399	4.39967E-05	3.63164E-05	6.53417E-06	4.42023E-05	5.71865E-05	1.4065E-05	5.52808E-05	0	5.17527E-06	0	8.06232E-06	0	0	0	0	3.5572E-05	0	2.3898E-05	8.27931E-06	1.36551E-05	2.44302E-05	3.43558E-05	1.71647E-05	1.4369E-05	2.18204E-05	0	2.5223E-05	0	4.96557E-06	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus_saanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16201E-06	2.58592E-06	2.22712E-06	0	0	0	0	0	0	0	7.97022E-06	0	0	0	0	0	0	0	0	0	0	0	0	4.55161E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96953E-05	0	0	0	0	2.05809E-06	0	0	0	0	0	0	0	0	0	0	4.63183E-06	2.89282E-06	0	0	7.63407E-06	5.50562E-06	2.23546E-06	0	1.14638E-06	7.45084E-07	3.41086E-06	2.87184E-06	6.54227E-07	1.87398E-06	0	5.20212E-07	1.74665E-06	4.07146E-06	1.78781E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.36551E-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus_Solibacter;s__Candidatus_Solibacter_usitatus	0	0	0	0	0	2.97089E-06	6.90791E-05	0	4.02547E-05	6.91112E-06	3.28757E-06	0	0	0	0	4.19859E-05	0	1.72334E-06	5.43043E-06	1.19922E-06	0	0	0	0	0	0	0	1.00641E-05	2.401E-05	0	0	0	0	0	5.61399E-05	0	0	0	0	0	2.33569E-06	0	0	0	0	0	0	0	0	2.64348E-06	0	9.37139E-06	0	0	0	1.30355E-06	0	0	0	0	0	0	0	0	0	8.86446E-06	1.47999E-05	0	0	0	0	6.06682E-05	4.37425E-05	6.3951E-05	8.4387E-06	1.05052E-05	1.19102E-05	6.65321E-07	8.05508E-07	2.68123E-06	2.48393E-06	1.79514E-06	0	4.51809E-06	2.29734E-06	0	3.11116E-06	5.63362E-07	1.05654E-05	5.32414E-06	4.35087E-06	5.11055E-06	6.29225E-06	3.38742E-06	0	0	0	6.04674E-06	0	0	0	0	2.37147E-05	0	4.06266E-05	1.89892E-06	2.73101E-05	1.94188E-05	1.38213E-05	2.01499E-05	6.58579E-06	0	0	1.21604E-06	0	3.12245E-06	0	2.70619E-06
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidimicrobium;s__Acidimicrobium_ferrooxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44134E-06	1.68085E-06	1.42764E-06	0	0	0	9.50936E-06	0	0	0	2.22896E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33489E-06	0	0	0	3.16629E-06	0	0	0	0	0	0	0	0	0	0	4.10657E-06	1.5735E-07	2.05645E-06	1.27934E-06	8.81332E-07	1.37E-06	3.96286E-06	0	1.21381E-06	0	0	4.25458E-06	3.43469E-06	9.04679E-07	1.08903E-06	1.13501E-06	1.55257E-06	1.69203E-06	1.08209E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
