#NAME	Description	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHMX	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174ALBQ	180VHMQ	189VXZJ	195VXXY	199VOZQ	206AZFD	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287ADJQ	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388ADHL	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHR	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	319VLY	178VYDM	188VZJH	190VFYK	206VZFD	254VLXR	214VGWJ	021VLSF	287VDJQ	136VZXQ	250VSJJ	317VYL	338VHJY	139VLTW	038VLWS	063VWZB	211VLT	316VYJH	349VZNL	193VZXL	174VLBQ	314VLLY	253VXXJ	275VLSX
T0001	HSP70 and HSP40-dependent folding in Huntington's disease	-0.077500148	0.632266564	-0.584218489	-0.183272851	-0.474649218	-0.303370043	-0.508840916	-0.543178492	-0.44645821	-0.23907792	0.685739997	0.373033787	-0.613016944	-0.443144076	-0.363509394	-0.145654168	-0.546166316	-0.490692941	0.503663476	0.065954162	-0.386575075	-0.520505089	-0.132354138	0.335659675	0.555875857	-0.579736035	0.550204475	0.611948307	-0.431908852	-0.598320459	-0.470061112	0.597260717	-0.654293331	-0.588348198	-0.57561374	-0.512027728	0.646911941	-0.111731343	-0.447345021	0.29024168	0.261078794	0.643427114	-0.475751183	-0.145863674	-0.532030031	0.638673438	-0.578423927	-0.480281097	0.614799549	0.379771372	-0.514234944	-0.589497299	-0.494827676	0.544800858	0.197925063	0.56984771	0.555467108	0.512615574	0.011481416	-0.585811056	-0.420539377	-0.537390929	0.062108417	0.054515669	0.242817614	-0.485620213	0.640167401	-0.536765766	-0.500989974	-0.40962869	-0.512368733	-0.580333275	-0.135358063	-0.087061547	-0.356828868	-0.642460933	-0.072990015	0.699744613	0.689873959	-0.152544405	0.481809545	0.510098063	0.523537628	0.654307439	0.243283686	0.507896871	0.697007727	0.443231412	0.682968705	0.694761139	0.653150355	0.63207527	0.719857547	0.555542273	-0.116597876	-0.215606173	-0.318834531	-0.538573182	-0.522931449	-0.490501279	-0.47399057	-0.406408923	-0.419989262	-0.496151045	-0.433286997	-0.582297106	-0.527400355	-0.427660212	-0.486599292	-0.149949823	-0.650448191	-0.620046087	-0.543737437	-0.626056793	-0.434112381	-0.581114117	-0.626339118	-0.538225213
T0002	Selenoamino acid metabolism	-0.557271861	0.384529348	-0.342097522	0.269848142	0.015499886	-0.172172242	0.359307217	-0.373264079	-0.36896213	-0.393019149	0.486950621	0.5414568	-0.585549887	-0.165319309	-0.058061338	0.407339757	-0.273102119	0.191629683	0.141632434	-0.272903594	-0.435616741	-0.483674318	-0.498276214	-0.228213506	0.249746812	-0.070966518	-0.036506126	0.221521934	0.116885691	-0.167099898	0.055850898	0.210749482	-0.009280885	-0.400477707	-0.296485958	-0.263174654	0.00759253	-0.094635714	-0.045293098	-0.043285637	0.159323184	-0.002235087	-0.492421397	-0.613165659	-0.101809038	0.174971614	-0.020829257	-0.263925044	0.496834042	0.196387327	-0.27843072	0.038230358	-0.035480176	0.170444385	-0.058949326	0.073656835	0.452633649	0.140136992	-0.297226304	-0.287943812	-0.533535844	-0.074330338	-0.514404438	-0.342092001	0.431362288	-0.055159617	0.040536461	-0.45556524	0.089388028	-0.248076824	0.018076467	-0.192920223	-0.440824653	-0.292516256	-0.261860741	-0.317900966	0.291213369	0.159803916	0.508857602	0.443407773	0.049580949	0.542887473	0.609141559	0.269138538	0.298859999	0.306809525	0.347159388	0.425863247	0.491788333	0.570303623	0.482609962	0.511841569	0.459182281	0.648840469	0.181320213	0.329150364	0.218716743	0.233726959	-0.20054238	-0.249528523	0.173553477	0.321327728	-0.258926585	-0.29207519	-0.329049676	-0.135414122	-0.184899631	0.249862749	-0.098796153	0.235427267	-0.165445955	0.144968875	0.035161046	-0.046784939	-0.219648558	-0.271594994	-0.243132647	-0.217983617
T0003	Expression targets of Tissue factor signaling in cancer	0.441567275	0.361249304	-0.106707796	0.026680572	-0.052654269	0.298341901	0.010115149	0.067508855	0.308171231	-0.013404913	0.106107688	0.310863221	-0.258932018	-0.381396285	0.180550608	0.354566811	-0.37751886	-0.329584058	0.390497932	-0.414702376	0.191096156	0.024255222	0.296052883	0.290079957	0.313510129	-0.215075639	0.558955049	0.177055165	0.354248237	-0.397000525	-0.244565608	0.400234646	-0.066302757	-0.278253519	0.113697249	-0.346740028	0.235536125	0.228073107	-0.34256367	0.29344525	0.327942508	0.059051921	0.285524888	0.389238678	0.176675701	0.230205877	-0.471839178	-0.539481039	0.266931914	0.525857406	0.089772657	-0.073607004	-0.401796907	0.354444103	0.580748671	0.245440662	0.326597224	0.016193113	0.592634079	-0.046011057	0.315205092	-0.184198154	0.213296129	0.284240305	0.371458693	0.269483821	0.073338892	0.236308277	-0.004555427	-0.487779384	0.177583864	-0.163481318	0.54152043	0.122993604	0.540741288	-0.477518688	-0.061965094	-0.41492526	-0.470786976	0.208083633	0.153163667	-0.574334958	-0.451070978	-0.309696748	-0.509247015	-0.489580062	-0.230964659	0.270979118	-0.445999168	-0.50840411	-0.419052379	-0.442939995	-0.267716069	-0.465327949	0.539614049	0.502832573	0.442049713	0.211658739	0.271127195	0.358441495	-0.259132901	-0.065975614	-0.268234048	-0.250877821	-0.24857494	-0.382530054	-0.130471048	0.159193531	0.236223822	0.638904203	-0.369322451	0.075967283	0.435502229	-0.388340079	0.376918545	-0.158080893	-0.421197378	-0.38518409
T0004	Development_Adenosine A1 receptor signaling	0.111437706	0.37313666	-0.436845977	-0.307325241	-0.435605334	-0.127619132	-0.50687671	-0.336589981	-0.406186517	-0.196909636	0.247821457	-0.076074314	-0.398046216	-0.307693133	-0.020611473	-0.342520782	-0.408145182	-0.275736076	0.483864687	-0.390296499	0.231911333	-0.090818726	0.083667407	0.406255303	0.409078258	-0.440320763	0.417642259	0.346334853	0.147061775	-0.41468917	-0.469120847	0.425892155	-0.451084644	-0.406224905	-0.438178325	-0.301273043	0.268678191	-0.130963128	-0.365657375	0.110777411	-0.055552469	0.389451436	-0.098690441	0.04204016	-0.355828384	0.451661957	-0.344295363	-0.361513251	0.440453086	0.290877394	-0.411580872	-0.474446465	-0.379114904	0.382550737	0.385737125	0.371657363	0.394814933	0.084589144	0.26248185	-0.302249894	-0.057953776	-0.377563884	0.278313467	0.099725119	-0.297943965	-0.432680926	0.418450914	-0.251321982	-0.336564333	-0.288162618	-0.318118619	-0.409750573	-0.013554338	-0.281573771	-0.034546898	-0.344821958	-0.327823808	0.20904519	0.195536259	-0.294756505	-0.002377769	-0.169628488	-0.194453967	0.16213085	-0.504912453	-0.31588834	0.209172003	0.069197135	0.210915461	0.170803753	0.146610959	0.103866372	0.256803041	-0.256795525	0.488048449	0.262866809	0.383609102	0.409374389	0.456000113	-0.004592343	-0.308232417	0.460628726	-0.276604713	-0.269372048	-0.396954944	-0.400982894	-0.310992676	0.046328235	0.280959263	0.334845777	-0.310982498	0.172579076	-0.11377962	-0.455359895	-0.218489119	-0.36408431	-0.122868514	-0.225586232
T0005	Signal transduction_Activation of PKC via G-Protein coupled receptor	0.159330706	0.333063011	-0.308717441	-0.268807757	-0.376959374	0.026232226	-0.430473681	-0.235825545	-0.396904145	-0.075131629	0.154580007	-0.123842811	-0.260106314	-0.235518127	0.131387732	-0.344505018	-0.346904761	-0.116608146	0.471786026	-0.400537239	0.230195641	-0.077004196	0.103796	0.407840407	0.335764196	-0.319163604	0.334002586	0.326784337	0.204606738	-0.324896102	-0.390406534	0.427669824	-0.33288667	-0.320533466	-0.29084187	-0.270315632	0.206716066	-0.104334795	-0.320648837	0.123448821	-0.025177466	0.252500183	-0.104637325	0.157194098	-0.236192205	0.364886317	-0.235339698	-0.30854907	0.358621317	0.277759464	-0.382492972	-0.418913621	-0.251430735	0.227145718	0.328794242	0.271695383	0.370034189	-0.049809922	0.301228383	-0.073881614	0.022636964	-0.279932276	0.349366934	0.151204133	-0.190602523	-0.252076398	0.27355842	-0.272398373	-0.070657734	-0.176214299	-0.250032425	-0.321324433	-0.046325502	-0.293794526	0.103842467	-0.223574657	-0.30556007	-0.029685611	-0.04642502	-0.300348306	-0.09389661	-0.354145117	-0.257279829	-0.083031604	-0.394855139	-0.380251183	0.002953961	-0.160888264	-0.070625901	-0.09802066	-0.215911367	-0.221674495	-0.012052532	-0.357835113	0.446265206	0.316710722	0.40091423	0.378644791	0.434049547	0.041048248	-0.168029461	0.457239998	-0.199123663	-0.157066533	-0.311707449	-0.370754176	-0.216890976	0.080937373	0.247814399	0.417619184	-0.281461049	0.266898549	0.036152847	-0.416142163	-0.104189538	-0.296165588	-0.112578289	-0.184687112
T0006	IL-17-induced mucin expression in CF airways	0.276293542	-0.279664413	0.237573019	0.36292044	0.428128502	0.300064301	0.343117651	0.303863911	0.368708536	0.116337278	-0.364857165	0.180023018	0.381305236	-0.193877817	0.248968826	0.288007232	0.185633824	0.260438069	-0.073696035	-0.016204073	0.43685032	0.12429539	0.294200388	-0.130564611	-0.36465386	0.285155611	-0.257076479	-0.207674271	0.450110367	0.240150712	0.194603562	-0.34339161	0.383369047	0.185776949	0.424485317	-0.084551949	-0.285304452	0.228911088	0.507795635	-0.005729476	0.027134216	-0.022315663	0.351987523	0.335537303	0.416938419	-0.257410298	0.1499494	-0.155772876	-0.143953229	-0.015896533	0.318549491	0.091312677	-0.081284544	-0.143193691	0.559183206	-0.341063669	-0.307941808	-0.272852213	0.635099724	0.20130289	0.52741441	0.360866821	0.170840993	-0.249548446	0.379611748	0.308834112	-0.383821297	0.335627942	0.231463514	-0.50964828	0.459654276	0.462855805	0.301729226	-0.082783552	0.437613911	-0.026559296	-0.139848386	-0.615278763	-0.541247144	-0.145766491	-0.252958521	-0.586743324	-0.381010823	-0.397520773	-0.421441941	-0.03846142	-0.432786646	-0.283881804	-0.551072262	-0.583242422	-0.353494482	-0.43808642	-0.585567091	-0.698695003	0.061579363	0.400390582	0.415748403	0.283807394	0.008730888	0.557720578	0.440886347	0.028479025	-0.460486107	-0.522455375	-0.526924142	0.416893054	-0.323438804	0.406451911	0.488005445	0.4400846	0.176927668	0.445179304	0.602499127	0.300826925	0.091328216	0.163852122	0.155468377	-0.02039317
T0007	Neurophysiological process_EphB receptors in dendritic spine morphogenesis and synaptogenesis	0.388757379	-0.324731621	0.088341869	0.214808912	0.298820394	0.326678296	-0.018429323	0.278930447	0.093252751	0.129972035	-0.344098746	0.132898595	0.225593955	0.095346733	0.351703968	-0.084564794	0.12592204	0.313588011	0.017157277	0.167884685	0.455984008	0.314255734	0.352726512	-0.243402679	-0.004726373	0.254177083	-0.248388091	-0.205158266	0.249070277	-0.047078827	0.287116035	-0.236543868	0.086422847	0.023034775	0.154289868	0.162719403	-0.256414628	-0.246060456	-0.033852988	-0.151723029	0.293970308	-0.221933719	0.352463589	0.310873477	0.255348602	-0.252443501	-0.022744769	0.052305984	-0.241347904	0.1790014	0.200577589	0.183127121	-0.035455181	-0.138553272	-0.064979796	-0.179042601	-0.166881649	-0.329666941	0.349456651	0.137771368	0.363409317	0.308730163	0.198146832	-0.053404641	0.205181913	0.176620086	-0.033850604	0.220174908	0.29196964	-0.289226608	-0.007213081	0.130897498	0.080809488	-0.03941147	0.370595569	0.193636574	0.126242533	-0.088797475	-0.188334554	0.089759731	-0.15767326	-0.231028061	-0.441627104	-0.275589171	0.269357353	-0.435671563	-0.260183322	-0.054168646	-0.282119077	-0.293545853	-0.06122936	-0.212387412	-0.194048916	-0.146679138	-0.012085851	0.041426063	0.075992883	-0.086999652	-0.154738899	-0.009822443	-0.004627566	-0.18003532	-0.217314416	-0.136625689	-0.200772099	-0.076647066	-0.052379036	-0.180634046	-0.206801388	0.228869269	0.197406635	-0.137666823	0.053096949	-0.071633494	-0.004909733	-0.058703745	0.053045674	0.082445976
T0008	Role of platelets in the initiation of in-stent restenosis	0.054347108	0.036152993	-0.012639234	0.049930948	-0.021552688	0.142067068	0.108570617	-0.133313288	0.292871011	0.141253472	-0.167562117	0.132486902	-0.044789096	-0.174786756	0.193622591	0.153055504	-0.115187249	0.17663822	0.063564072	0.126707845	0.03308229	0.280608716	0.148543765	0.131169886	0.059592775	0.061225786	0.166506579	0.279704485	0.129594601	0.026302725	0.005506597	0.124155777	0.023646427	0.008430108	0.132848022	-0.166528936	-0.035400085	0.364130091	-0.140493255	0.201052626	0.012748769	-0.039743175	0.225005237	0.395593066	0.088985758	0.333515083	-0.15094162	-0.226341302	0.186629352	0.231198576	0.060069215	0.114845301	-0.035589014	0.187984961	0.327482276	0.098362827	0.086107344	0.224075679	0.311046311	-0.012604905	-0.044207593	0.092836611	-0.083326985	0.108878947	0.290391205	0.174669665	-0.087720789	0.292306379	0.100733665	-0.134305033	0.081681966	-0.067420342	0.337159017	0.392240795	0.405139439	-0.047516399	0.153505004	-0.328411828	-0.37755346	0.261010057	0.057521147	-0.214708235	-0.244450372	-0.287475959	-0.285116561	-0.128594443	-0.127170184	-0.010241277	-0.325922093	-0.24146008	-0.277373352	-0.36649558	-0.215560963	-0.104967231	0.263345663	0.22852616	0.375852947	0.261582384	-0.002615424	0.279360921	0.036734673	0.040354383	-0.016232897	-0.065826547	-0.054669073	-0.071739412	-0.047715729	0.205409964	0.261369411	0.369323481	-0.168919707	0.219364061	0.179360214	0.024378752	-0.210211494	-0.117753277	-0.025583686	0.001858284
T0009	Stem cells_Schema: Embryonal myogenesis	-0.101632147	0.597436935	-0.456944211	-0.06781138	-0.302200139	0.024976624	-0.465328496	-0.345169899	-0.349039974	-0.239041487	0.540482716	0.310849723	-0.51897764	-0.374147177	0.166702243	-0.004665802	-0.534593751	-0.470832111	0.531582708	-0.388708807	0.001583529	-0.376442563	-0.094129083	0.599915082	0.560018164	-0.540590975	0.510598635	0.478889017	0.03049254	-0.50798525	-0.539221703	0.568490444	-0.449350104	-0.475711183	-0.581027824	-0.394635106	0.579038724	0.098135278	-0.52240689	0.328993537	0.199355839	0.559667527	-0.343185336	-0.09449968	-0.456826592	0.444473165	-0.440452598	-0.541078048	0.585993594	0.524373336	-0.434879571	-0.52870879	-0.436651289	0.531295858	0.406111258	0.559924781	0.565942634	0.477897207	0.416760653	-0.428452944	-0.129840947	-0.492998071	0.224298701	0.364146627	0.048326554	-0.51105479	0.506018541	-0.290153593	-0.529278515	-0.464529811	-0.298010783	-0.540971812	0.152789004	0.104517497	0.133110563	-0.524984112	-0.194029984	0.348532413	0.291019795	-0.127786028	0.427576443	0.011961409	0.29453166	0.349091477	-0.322907876	-0.139581402	0.408144497	0.280812269	0.277293299	0.320192719	0.256633448	0.240235916	0.392731542	-0.008025688	0.551752348	-0.008492463	0.082119842	0.41727845	0.437952331	-0.142593949	-0.493374587	0.212080937	-0.481679949	-0.49040518	-0.506312778	-0.502329566	-0.490628881	0.088710487	0.18740182	0.362517317	-0.462207869	0.092606353	-0.208770405	-0.59755235	-0.314524382	-0.519828677	-0.474685926	-0.47024576
T0010	TrkB signaling in Huntington's disease	0.109426653	0.127008144	-0.336322432	-0.353323811	-0.258175859	-0.038101443	-0.443407755	-0.160309362	-0.419574834	-0.222901499	0.024764	-0.281784966	-0.269668747	-0.180578029	-0.021827437	-0.343398805	-0.322809628	-0.122936055	0.466573198	-0.328952145	0.171353242	-0.163868486	0.020085463	0.36420968	0.300449296	-0.213519743	0.209260955	0.148353998	-0.054744217	-0.08762249	-0.382538789	0.290308845	-0.250050239	-0.11256711	-0.290869058	-0.252143794	0.096822517	-0.178617474	-0.129020886	-0.019850187	-0.0832564	0.179801122	-0.075433935	-0.052556896	-0.324258496	0.188749965	0.074008992	-0.18358741	0.225163062	0.267957793	-0.338795136	-0.341555181	0.080674285	0.203243036	0.174869331	0.179764496	0.253448522	0.025510339	-0.059797592	-0.326667311	0.064771146	-0.333583786	0.130314808	-0.165648228	-0.330729728	-0.281750847	0.267474786	-0.132884176	-0.148592256	0.129415664	-0.414831258	-0.25672927	-0.291435732	-0.26452584	0.051006174	0.016389644	-0.310732486	0.025842767	0.160049062	-0.122423923	-0.098405685	-0.186529347	-0.387325317	-0.18582193	-0.341208799	-0.282521338	-0.029961047	-0.027626897	0.006273118	-0.023356817	-0.073033598	-0.240397886	0.059969893	-0.200656692	0.447053382	0.032964331	0.081622766	0.330097054	0.318853189	0.015178718	-0.023294358	0.411120291	-0.002784958	0.016454642	-0.06973026	-0.256021344	-0.185959056	0.016387473	0.075953475	0.345745769	-0.132203285	-0.051874682	-0.155597148	-0.317967431	-0.29412542	-0.262709472	0.117258836	0.108945067
